layer,rank,theta,score
11,4,0.3,-0.0006795704020297055
11,4,0.6,0.0063767141078114875
11,4,1,-2.220446049250313e-16
11,8,0.3,0.014124697732964764
11,8,0.6,0.013761518388940797
11,8,1,-2.220446049250313e-16
11,16,0.3,-0.010937421848992157
11,16,0.6,-0.013879631680317805
11,16,1,-2.220446049250313e-16
11,32,0.3,0.011028473235522362
11,32,0.6,0.008204137034120373
11,32,1,-2.220446049250313e-16
11,64,0.3,0.07999385411417315
11,64,0.6,0.07888732278873212
11,64,1,-2.220446049250313e-16
