layer,rank,theta,score
5,4,0.01,1.0469510727385267
5,4,0.1,0.9562964271723622
5,4,0.15,0.9282884583228194
5,4,0.2,0.9316060102429213
5,4,0.25,0.9789186752041649
5,4,0.3,1.0641421042580945
5,4,0.6,1.9579833567446387
5,4,1.0,1.9922574571062077
5,8,0.01,1.608988267520255
5,8,0.1,1.505852575321438
5,8,0.15,1.4891359031815496
5,8,0.2,1.518905658078617
5,8,0.25,1.59185100639521
5,8,0.3,1.7281176797424598
5,8,0.6,2.389122717552321
5,8,1.0,1.9922574571062077
5,16,0.01,0.40206306054532365
5,16,0.1,0.52164365714405
5,16,0.15,0.6760927282842101
5,16,0.2,0.7777704700996012
5,16,0.25,0.8592036243080132
5,16,0.3,0.9636631357783453
5,16,0.6,1.6894270040720198
5,16,1.0,1.9922574571062077
5,32,0.01,0.33533686820339426
5,32,0.1,0.3800697662966356
5,32,0.15,0.41011198779295166
5,32,0.2,0.427472845586642
5,32,0.25,0.44080611051537755
5,32,0.3,0.452379517158922
5,32,0.6,0.5274537261749832
5,32,1.0,1.9922574571062077
5,64,0.01,2.27848296175771
5,64,0.1,2.2964001677491424
5,64,0.15,2.3071671976404713
5,64,0.2,2.318592575654015
5,64,0.25,2.3307563779812526
5,64,0.3,2.343729372222082
5,64,0.6,2.4461627971357496
5,64,1.0,1.9922574571062077
6,4,0.01,2.300441248235767
6,4,0.1,2.033163377410726
6,4,0.15,1.8719685604596037
6,4,0.2,1.7011778243896851
6,4,0.25,1.5231944797889683
6,4,0.3,1.3408346631387502
6,4,0.6,0.9344704767705132
6,4,1.0,1.7596568188453903
6,8,0.01,0.6608851715203741
6,8,0.1,0.6531134156872568
6,8,0.15,0.5923262017445963
6,8,0.2,0.5075004382029876
6,8,0.25,0.45356225233459513
6,8,0.3,0.48434898299268114
6,8,0.6,1.839959095917065
6,8,1.0,1.7596568188453903
6,16,0.01,2.572017045291419
6,16,0.1,2.6159530077855715
6,16,0.15,2.608010249179632
6,16,0.2,2.577557123889413
6,16,0.25,2.533132716953696
6,16,0.3,2.4906885274112303
6,16,0.6,2.3555598170854903
6,16,1.0,1.7596568188453903
6,32,0.01,2.5773682142927212
6,32,0.1,2.5617091928689537
6,32,0.15,2.5535751587349473
6,32,0.2,2.545746145529244
6,32,0.25,2.538179028285865
6,32,0.3,2.530826216194213
6,32,0.6,2.484028400774119
6,32,1.0,1.7596568188453903
6,64,0.01,2.679110885056958
6,64,0.1,2.667647185283125
6,64,0.15,2.6603645708423724
6,64,0.2,2.652258351241595
6,64,0.25,2.6431771468684424
6,64,0.3,2.6329029830261015
6,64,0.6,2.5276870031912733
6,64,1.0,1.7596568188453903
7,4,0.01,0.2726152232946999
7,4,0.1,0.24324587947334175
7,4,0.15,0.20877291782073293
7,4,0.2,0.1579552748097538
7,4,0.25,0.08714576711228961
7,4,0.3,-0.005600149809664945
7,4,0.6,-0.587540412815726
7,4,1.0,-0.6952471476660652
7,8,0.01,1.0281668553331247
7,8,0.1,0.9946516662377359
7,8,0.15,0.9710524156721831
7,8,0.2,0.9391008165848027
7,8,0.25,0.897358880615451
7,8,0.3,0.8445845756005254
7,8,0.6,0.6226779543814583
7,8,1.0,-0.6952471476660652
7,16,0.01,0.1413301520956714
7,16,0.1,0.1703493351511794
